iddesa,binding_constraint,tier,lever,note,magnitude,severity
7402080009,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9231821766241524,0.9231821766241524
7402080013,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402081001,z_B3,Tier 2,,,-0.37828146420285336,0.37828146420285336
7402081007,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402090013,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7402091007,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7402091010,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7402111005,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402112002,z_B3,Tier 2,,,-0.33010121676158904,0.33010121676158904
7402112003,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7403090012,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7403090013,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-1.0474673427682717,1.0474673427682717
7403091011,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.471292786700904,0.471292786700904
7403102006,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7403102009,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7403102015,z_B3,Tier 2,,,-0.5679411542517364,0.5679411542517364
7403130049,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.7154899418321495,0.7154899418321495
7403130061,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-1.360640949434238,1.360640949434238
7403131002,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7403131015,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.1909440374765494,1.1909440374765494
7403131017,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-2.2134841918283286,2.2134841918283286
7403131018,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-1.360640949434238,1.360640949434238
7403132001,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
