iddesa,has_agri,is_urban,is_analytic,is_ndvi_exc,is_ntl_exc
7403142007,True,True,True,False,False
7403142008,True,True,True,False,False
7403142009,True,True,True,False,False
7403142010,True,True,True,False,False
7403142011,True,True,True,False,False
7403142012,True,True,True,False,False
7403142013,True,True,True,False,False
7403142014,True,True,True,False,False
7403142015,True,True,True,False,False
7403143001,True,True,True,False,False
7403143002,True,True,True,False,False
7403143003,True,True,True,False,False
7403143004,True,True,True,False,False
7403143005,True,True,True,False,False
7403143006,True,True,True,False,False
7403143007,True,True,True,False,False
7403143008,True,True,True,False,False
7403143009,True,True,True,False,False
7403143010,True,True,True,False,False
7403143011,True,True,True,False,False
7403143012,True,True,True,False,False
7403143013,True,True,True,False,False
7403143014,True,True,True,False,False
7403150004,True,True,True,False,False
7403150009,True,True,True,False,False
7403150010,True,True,True,False,False
7403150011,True,True,True,False,False
7403150012,True,True,True,False,False
7403150013,True,True,True,True,True
7403150014,True,True,True,False,False
7403150015,True,True,True,False,False
7403150016,True,True,True,False,False
7403150017,True,True,True,False,False
7403150018,True,True,True,False,False
7403150019,True,True,True,False,False
7403150027,True,True,True,False,False
7403150030,True,True,True,False,False
7403150031,True,True,True,False,False
7403150032,True,True,True,False,False
7403150033,True,True,True,False,False
7403150034,True,True,True,False,False
7403150035,True,True,True,False,False
7403151001,True,True,True,False,False
7403151002,True,True,True,False,False
7403151003,True,True,True,False,False
7403151004,True,True,True,False,False
7403151005,True,True,True,False,False
7403151006,True,True,True,False,False
7403151007,True,True,True,False,False
7403151008,True,True,True,False,False
7403151009,False,True,False,False,False
7403152001,True,True,True,False,False
7403152002,True,True,True,False,False
7403152003,True,True,True,False,False
7403152004,True,True,True,False,False
7403152005,True,True,True,False,False
7403152006,True,True,True,False,False
7403152007,True,True,True,False,False
7403152008,True,True,True,False,False
7403152009,True,True,True,False,False
7403152010,True,True,True,False,False
7403152011,True,True,True,False,False
7403152012,True,True,True,False,False
7403170001,True,True,True,False,False
7403170002,True,True,True,False,True
7403170003,True,True,True,False,True
7403170004,True,True,True,False,True
7403170005,True,True,True,False,True
7403170006,True,True,True,False,False
7403170007,True,True,True,True,True
7403170012,True,True,True,False,False
7403170013,True,True,True,False,False
7403170014,True,True,True,True,False
7403170015,True,True,True,False,False
7403170016,True,True,True,False,True
7403171001,True,True,True,False,False
7403171002,True,True,True,False,False
7403171003,True,True,True,False,False
7403171004,True,True,True,False,False
7403171005,True,True,True,False,False
7403171006,True,True,True,True,False
7403171007,True,True,True,False,False
7403171008,True,True,True,False,False
7403180012,True,True,True,False,False
7403180013,True,True,True,False,False
7403180014,True,True,True,False,False
7403180015,True,True,True,False,False
7403180016,True,True,True,False,False
7403180017,True,True,True,False,False
7403180018,True,True,True,False,False
7403180025,True,True,True,False,False
7403180035,True,True,True,False,False
7403180042,True,True,True,False,False
7403180043,True,True,True,False,False
7403180044,True,True,True,False,False
7403181001,True,True,True,False,False
7403181002,True,True,True,False,False
7403181003,True,True,True,False,False
7403181004,False,True,False,False,False
7403181005,True,True,True,False,False
7403181006,True,True,True,False,False
7403181007,True,True,True,False,False
7403181008,True,True,True,False,False
7403181009,True,True,True,False,False
7403181010,False,True,False,False,False
7403181011,True,True,True,False,False
7403181017,False,True,False,False,False
7403182001,True,True,True,False,False
7403182002,True,True,True,False,False
7403182003,True,True,True,False,False
7403182004,True,True,True,True,False
7403182005,True,True,True,False,False
7403182006,True,True,True,False,False
7403182011,True,True,True,False,False
7403182013,True,True,True,False,False
7403182015,True,True,True,False,False
7403182016,True,True,True,False,False
7403183001,True,True,True,False,False
7403183002,True,True,True,False,False
7403183003,True,True,True,False,False
7403183004,True,True,True,False,False
7403183005,True,True,True,True,False
7403183006,True,True,True,False,False
7403183007,True,True,True,False,False
7403183008,True,True,True,False,False
7403183009,True,True,True,False,False
7403184001,True,True,True,False,False
7403184002,True,True,True,False,False
7403184003,True,True,True,False,False
7403184004,True,True,True,False,False
7403184005,True,True,True,False,False
7403184006,True,True,True,False,False
7403184007,True,True,True,False,False
7403184008,True,True,True,False,False
7403184009,True,True,True,False,False
7403184010,True,True,True,False,False
7403184011,True,True,True,False,False
7403185001,True,True,True,False,False
7403185002,True,True,True,False,False
7403185003,True,True,True,False,False
7403185004,True,True,True,False,False
7403185005,True,True,True,False,False
7403185006,True,True,True,False,False
7403185007,True,True,True,False,False
7403185008,True,True,True,False,False
7403185009,True,True,True,False,False
7403185010,True,True,True,False,False
7403193001,False,True,False,False,False
7403193002,False,True,False,False,False
7403193003,False,True,False,False,False
7403193004,False,True,False,False,False
7403193006,False,True,False,False,False
7403193007,False,True,False,False,False
7403193008,False,True,False,False,False
7403193010,False,True,False,False,False
7404010004,True,True,True,False,False
7404010006,True,True,True,False,False
7404010007,True,True,True,True,False
7404010008,True,True,True,False,False
7404010009,True,True,True,False,False
7404010010,True,True,True,False,False
7404010011,True,True,True,False,False
7404010013,True,True,True,False,False
7404010017,True,True,True,False,False
7404010018,True,True,True,False,False
7404010020,True,True,True,False,False
7404010021,True,True,True,False,False
7404010022,True,True,True,False,False
7404010023,True,True,True,False,False
7404011001,True,True,True,False,False
7404011002,True,True,True,False,False
7404011003,True,True,True,False,False
7404011004,True,True,True,False,False
7404011005,False,True,False,False,False
7404011006,False,True,False,False,False
7404011007,False,True,False,False,False
7404011008,True,True,True,False,False
7404011009,True,True,True,False,False
7404011010,False,True,False,False,False
7404011011,True,True,True,False,False
7404011012,False,True,False,False,False
7404011013,True,True,True,False,False
7404011014,True,True,True,False,False
7404012001,True,True,True,False,False
7404012002,True,True,True,False,False
7404012003,True,True,True,True,False
7404012004,True,True,True,False,False
7404012005,True,True,True,False,False
7404012006,True,True,True,False,False
7404012007,True,True,True,True,False
7404012008,False,True,False,False,False
7404012009,True,True,True,True,False
7404012010,True,True,True,False,False
7404013001,True,True,True,False,False
7404013002,True,True,True,False,False
7404013003,True,True,True,False,False
7404013004,False,True,False,False,False
7404013005,True,True,True,False,False
7404013006,True,True,True,False,False
7404013007,True,True,True,False,False
7404020001,True,True,True,False,False
7404020002,True,True,True,False,False
7404020003,True,True,True,True,False
7404020004,True,True,True,True,False
7404020005,True,True,True,False,False
7404020006,True,True,True,True,True
7404020007,True,True,True,False,True
7404020008,True,True,True,False,True
7404020009,True,True,True,False,False
7404020010,True,True,True,False,True
7404020011,True,True,True,True,False
7404020012,True,True,True,False,False
7404030007,True,True,True,False,False
7404030011,True,True,True,False,False
7404030012,True,True,True,False,False
7404030013,True,True,True,False,False
7404030014,True,True,True,False,False
7404030015,False,True,False,False,False
7404030016,True,True,True,False,False
7404030017,True,True,True,False,False
7404030018,False,True,False,False,False
7404030019,True,True,True,False,True
7404030020,True,True,True,False,False
7404031001,True,True,True,False,False
7404031002,True,True,True,False,False
7404031003,True,True,True,False,False
7404031004,True,True,True,False,False
7404031005,True,True,True,False,False
7404031006,True,True,True,False,False
7404031007,True,True,True,False,False
7404031008,True,True,True,False,False
7404031009,True,True,True,False,False
7404031010,False,True,False,False,False
7404060008,True,True,True,True,True
7404060009,True,True,True,False,True
7404060010,True,True,True,False,False
7404060011,True,True,True,True,True
7404060012,True,True,True,True,False
7404060013,True,True,True,False,False
7404060014,True,True,True,False,False
7404061001,True,True,True,False,False
7404061002,True,True,True,False,False
7404061003,True,True,True,False,True
7404061004,True,True,True,False,False
7404061005,False,True,False,False,False
7404061006,False,True,False,False,False
7404061007,False,True,False,False,False
7404070010,True,True,True,False,False
7404070011,True,True,True,False,False
7404070012,True,True,True,False,False
7404070013,True,True,True,False,False
7404070014,True,True,True,False,False
7404070015,True,True,True,False,False
7404070016,True,True,True,False,False
7404070017,True,True,True,False,False
7404070018,True,True,True,False,False
7404070024,True,True,True,False,False
7404070025,True,True,True,False,False
7404070027,True,True,True,True,False
7404070028,True,True,True,False,False
7404070029,False,True,False,False,False
7404071001,True,True,True,False,False
7404071002,True,True,True,False,False
7404071003,True,True,True,False,False
7404071004,True,True,True,False,False
7404071005,True,True,True,False,False
7404071006,True,True,True,False,False
7404071007,True,True,True,False,False
7404071008,True,True,True,False,False
7404071009,False,True,False,False,False
7404071010,True,True,True,False,False
7404071011,True,True,True,False,False
7404071012,True,True,True,False,False
7404071013,True,True,True,False,False
7404071014,True,True,True,False,False
7404071015,True,True,True,False,False
7404071016,False,True,False,False,False
7404071017,True,True,True,False,False
7404071018,True,True,True,False,False
7404071019,True,True,True,False,False
7404072001,True,True,True,False,False
7404072002,True,True,True,False,False
7404072003,True,True,True,False,False
7404072004,True,True,True,False,False
7404072005,False,True,False,False,False
7404072006,True,True,True,False,False
7404072007,True,True,True,False,False
7404072008,True,True,True,False,False
7404072009,False,True,False,False,False
7404072010,False,True,False,False,False
7405010001,True,True,True,False,False
7405010002,True,True,True,False,False
7405010005,True,True,True,False,False
7405010006,True,True,True,False,False
7405010007,True,True,True,False,False
7405010008,True,True,True,False,True
7405010009,True,True,True,False,False
7405010010,False,True,False,False,False
7405010011,False,True,False,False,False
7405010012,True,True,True,False,False
7405010013,True,True,True,False,False
7405010014,True,True,True,False,False
7405010015,True,True,True,False,False
7405010016,True,True,True,False,False
7405010017,True,True,True,False,False
7405010038,True,True,True,True,False
7405010040,True,True,True,False,False
7405010041,True,True,True,False,False
7405010042,True,True,True,False,False
7405010043,True,True,True,False,False
7405010044,True,True,True,False,False
7405010045,True,True,True,False,False
7405010046,True,True,True,False,False
7405010047,True,True,True,False,False
7405011001,True,True,True,False,False
7405011002,True,True,True,False,False
7405011003,True,True,True,False,False
7405011004,True,True,True,False,False
7405011005,True,True,True,False,False
7405011006,True,True,True,True,False
7405011007,True,True,True,False,False
7405011008,True,True,True,False,False
7405011009,True,True,True,True,False
7405011010,True,True,True,False,False
7405011011,True,True,True,False,False
7405011012,True,True,True,False,False
7405011013,True,True,True,False,False
7405011014,True,True,True,False,False
7405011015,True,True,True,False,False
7405011017,True,True,True,False,False
7405011018,True,True,True,False,False
7405011019,False,True,False,False,False
7405020001,True,True,True,False,False
7405020002,True,True,True,False,False
7405020003,True,True,True,False,False
7405020012,True,True,True,False,False
7405020013,True,True,True,False,False
7405020014,True,True,True,False,False
7405020015,True,True,True,False,False
7405020016,True,True,True,False,False
7405020031,True,True,True,False,False
7405020033,True,True,True,False,False
7405021001,True,True,True,False,False
7405021002,True,True,True,False,False
7405021003,True,True,True,False,False
7405021004,True,True,True,False,False
7405021005,True,True,True,False,False
7405021006,True,True,True,False,False
7405021007,True,True,True,False,False
7405021008,True,True,True,False,False
7405021009,True,True,True,False,False
7405021010,True,True,True,False,False
7405021011,True,True,True,False,False
7405021012,True,True,True,False,False
7405021013,True,True,True,False,False
7405021014,True,True,True,False,False
7405021015,True,True,True,False,False
7405021016,True,True,True,False,False
7405022001,True,True,True,False,False
7405022002,True,True,True,False,False
7405022003,True,True,True,False,False
7405022004,True,True,True,False,False
7405022005,True,True,True,False,False
7405022006,True,True,True,False,False
7405022007,True,True,True,False,False
7405022008,True,True,True,False,False
7405022009,True,True,True,False,False
7405022010,True,True,True,False,False
7405030011,True,True,True,False,False
7405030012,True,True,True,False,False
7405030013,True,True,True,False,False
7405030014,True,True,True,False,False
7405030015,True,True,True,False,False
7405030016,True,True,True,False,False
7405030017,True,True,True,False,False
7405030018,True,True,True,False,False
7405030019,True,True,True,False,False
7405030020,True,True,True,False,False
7405030021,True,True,True,False,False
7405030022,True,True,True,False,False
7405030030,True,True,True,False,False
7405030032,True,True,True,False,False
7405030033,True,True,True,False,False
7405031001,True,True,True,False,False
7405031002,True,True,True,False,False
7405031003,True,True,True,False,False
7405031004,True,True,True,False,False
7405031005,True,True,True,False,False
7405031006,False,True,False,False,False
7405031007,True,True,True,False,False
7405031008,True,True,True,False,False
7405031009,True,True,True,False,False
7405031010,True,True,True,True,False
7405032001,True,True,True,False,False
7405032002,True,True,True,False,False
7405032003,True,True,True,False,False
7405032004,True,True,True,False,False
7405032005,True,True,True,False,False
7405032006,True,True,True,False,False
7405032007,True,True,True,False,False
7405032008,True,True,True,False,False
7405040017,True,True,True,False,False
7405040018,True,True,True,False,False
7405040019,True,True,True,False,False
7405040020,True,True,True,False,False
7405040021,True,True,True,False,False
7405040022,True,True,True,False,False
7405040023,True,True,True,False,False
7405040024,True,True,True,False,False
7405040025,True,True,True,False,False
7405040026,True,True,True,False,False
7405040027,True,True,True,False,False
7405040028,True,True,True,False,False
7405041001,True,True,True,False,False
7405041002,False,True,False,False,False
7405041003,True,True,True,False,False
7405041004,True,True,True,False,False
7405041005,True,True,True,False,False
7405041006,True,True,True,False,False
7405041007,True,True,True,False,False
7405041008,True,True,True,False,False
7405041009,True,True,True,False,False
7405041010,True,True,True,False,False
7405041011,True,True,True,False,False
7405041012,True,True,True,False,False
7405041013,True,True,True,False,False
7405041014,True,True,True,False,False
7405041015,True,True,True,False,False
7405041016,True,True,True,False,False
7405041017,True,True,True,False,False
7405050001,False,True,False,False,False
7405050002,False,True,False,False,False
7405050003,True,True,True,False,False
7405050004,True,True,True,False,False
7405050005,True,True,True,False,False
7405050006,True,True,True,False,False
7405050007,True,True,True,False,False
7405050008,False,True,False,False,False
7405050009,True,True,True,False,False
7405050010,True,True,True,False,False
7405050011,True,True,True,False,False
7405050012,False,True,False,False,False
7405050013,True,True,True,False,False
7405050014,True,True,True,False,False
7405050015,True,True,True,False,False
7405050016,False,True,False,False,False
7405050017,False,True,False,False,False
7405050028,True,True,True,False,False
7405050029,False,True,False,False,False
7405050030,True,True,True,False,False
7405050031,False,True,False,False,False
7405051001,False,True,False,False,False
7405051002,False,True,False,False,False
7405051003,False,True,False,False,False
7405051004,False,True,False,False,False
7405051005,True,True,True,False,False
7405051006,False,True,False,False,False
7405051007,False,True,False,False,False
7405051008,False,True,False,False,False
7405051009,False,True,False,False,False
7405051010,False,True,False,False,False
7405060001,False,True,False,False,False
7405060002,False,True,False,False,False
7405060003,False,True,False,False,False
7405060004,False,True,False,False,False
7405060005,True,True,True,False,False
7405060006,True,True,True,False,False
7405060007,False,True,False,False,False
7405060008,True,True,True,False,False
7405060009,True,True,True,False,False
7405060010,False,True,False,False,False
7405060011,True,True,True,False,False
7405060012,False,True,False,False,False
7405060013,False,True,False,False,False
7405060014,False,True,False,False,False
7405060015,True,True,True,False,False
7405060016,False,True,False,False,False
7405060017,False,True,False,False,False
7405060018,False,True,False,False,False
