iddesa,quadrant
7406061008,1.0
7406061010,1.0
7406061011,1.0
7406062001,1.0
7406062002,1.0
7406062003,1.0
7406062004,1.0
7406062005,1.0
7406063001,1.0
7406063002,1.0
7406063003,3.0
7406063004,1.0
7407010007,3.0
7407020001,3.0
7407021005,4.0
7407040013,4.0
7407040023,3.0
7407050004,3.0
7407050010,4.0
7407050013,3.0
7407050017,1.0
7408010005,1.0
7408010006,1.0
7408010007,1.0
7408010008,1.0
7408010016,3.0
7408010017,1.0
7408010018,1.0
7408011006,4.0
7408011007,2.0
7408012001,1.0
7408012002,1.0
7408012004,3.0
7408012006,3.0
7408012007,3.0
7408020012,3.0
7408020013,1.0
7408020014,1.0
7408020015,1.0
7408020016,2.0
7408020017,4.0
7408020018,3.0
7408020019,2.0
7408020026,2.0
7408020027,1.0
7408020028,1.0
7408020029,1.0
7408021001,3.0
7408021002,3.0
7408021003,3.0
7408021005,1.0
7408030001,3.0
7408030002,3.0
7408030004,3.0
7408030005,1.0
7408030006,1.0
7408030007,1.0
7408030008,1.0
7408030009,1.0
7408030017,1.0
7408030018,1.0
7408031001,3.0
7408031003,1.0
7408031004,1.0
7408031007,2.0
7408040003,1.0
7408040004,3.0
7408040005,2.0
7408040006,3.0
7408040007,2.0
7408040011,1.0
7408040014,1.0
7408040015,3.0
7408040016,2.0
7408040018,1.0
7408040019,1.0
7408041001,3.0
7408041002,1.0
7408041003,2.0
7408041004,3.0
7408041005,1.0
7408041006,1.0
7408041007,1.0
7408041008,1.0
7408050012,3.0
7408050013,3.0
7408050014,1.0
7408050015,1.0
7408050016,1.0
7408050017,1.0
7408050028,1.0
7408050035,3.0
7408050036,1.0
7408050037,3.0
7408050038,1.0
7408051001,1.0
7408051002,1.0
7408051003,3.0
7408051004,3.0
7408051005,3.0
7408051006,3.0
7408051007,1.0
7408051008,1.0
7408051009,3.0
7408052001,3.0
7408052002,3.0
7408052003,3.0
7408052004,1.0
7408052005,1.0
7408052007,3.0
7408052008,1.0
7408052009,3.0
7408052010,3.0
7408060001,3.0
